row_number,dream_report_id,participant_id,dream_timestamp,raw_dream_date,dream_text,word_count,survey_name,survey_id,question,categories,gender,age
1,0192a1a8-b8b4-7cef-9f50-520dc2d4e4a4,Melvin,2022-12-04T00:00:00Z,12/4/2022,"Mostly forgotten. Flying across an extensive property. Some of it's woods, second or third growth, but 30-40 years old. I fly kitty corner across the property to the far corner, where the ground is lower than the rest. The ground is wet but not swampy.  Something about going down there for peace and quiet, reflection. Defoliated deciduous trees and shrubs, so winter, no structure there, but a bit of a clearing and a patch of grass. Cloudy, damp.",78,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
2,0192a1a8-b8b4-7cef-9f50-520dc2f55d92,Melvin,2022-12-07T00:00:00Z,12/7/2022,"Beginning forgotten. An alternative school class, all boys. Possibly it's a reform school or juvie like Echo Glen. The previous day there had been only four boys, but this day there are twenty-five or so. Something about gathering, a bunch of people milling around outside the classroom. It's not in a mall, but it's not a proper school building. The boys file into the room. There are three or four different rooms there, small classroom type spaces, and the one on the right, within a few minutes of the students coming in, there's a little kerfuffle in there. I go to check it out....
A part where it's a residential school. Bunk beds. The bunk beds have none too clean bedding, blue with some white decoration, not a print, woven in. I'm in a lower bunk. The upper bunk is stretched very taut. One boy, possibly more, objects very strongly to the fabric. Something about it he just can't stand. I try to figure out if it's an allergy, or just what about it bothers him. Much forgotten.
I'm with a much younger Chinese boy. Maybe second grade? Quite beautiful. He and I are lying down side by side in a bed. At one point he pats my fanny. I say, that feels good, but don't do that, so he stops. We're outside in this bed. A very large crane. The crane has some kind of grabber at the end of a very long boom, painted glossy black. It's coming down fairly close to us. We both see it. The boy says something about is it coming back, or it's coming back.  I look more closely at the crane. It's flying. The main body of the crane is suspended from four big helicopter rotors. Behind the crane, blue sky. No clouds. 
A sense of reconciliation with these delinquent boys. I listen to them, taking their concerns seriously. It had been a very long time since anyone had done that.",329,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
3,0192a1a8-b8b4-7cef-9f50-520dc317f5c7,Melvin,2022-12-07T00:00:00Z,12/7/2022,"A lot of Mexican, Hispanic, boys. A school situation? Half a dozen or more of them in a courtyard of some kind. They're all very street gang impacted. I watch them. They're aware of me. They're not doing anything bad, just standing around, talking among themselves n Spanish. Everything about them is soaked in the gang culture. I think to myself, that's their culture. What are you going to do about that?  A couple of them get a little loud. Speaking English, I admonish them to be a little quieter. They don't take it badly. I think to myself, they could kill me in a heartbeat if they wanted to, but they don't.
A long trip or expedition way down to Mexico, with a younger male companion, forgotten....",128,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
4,0192a1a8-b8b4-7cef-9f50-520dc33a777a,Melvin,2022-12-08T00:00:00Z,12/8/2022,"Danny. Before this there was a long bit, mostly forgotten. Some kind of gathering, family deal. Henry was there as a little kid. He wanted to play some game. I thought maybe I could get Danny involved in it. 
A point where Danny and I are in bed together. We haven't, nor are we going to, have sex. He's wearing a grey knit top. I have on a night shirt. We're pretty close together, talking. He doesn't look very healthy, but he's not ill. I wonder what it would be like to be intimate with him.  Danny is in some kind of an aquarium tank that covers almost the entire wall. Light from outside comes through. It's only about a foot thick, and full of aquatic plants. Bubbles come up from the bottom, water streams down from above. It connects to some system in the house. Danny notices that when the house system goes on and off it affects the water flow in the tank. Recall no fish.
Danny is in a cupboard, but no door, recessed into the wall, up off the floor. He's lying in it. I ask him if he wants to help entertain these kids. He suggests flying to San Francisco. It was the Friday of a long weekend. There was something we were going to do together on the Sunday. I ask him if he still wants to do that and he says yes. I'm thinking, does he just want to go to SF for the day? I say, I couldn't possibly pull that together. Why do you want to go? He says there's over fifty different kinds of popsicles. Just wants to explore and see what's there. 
Very vivid. I felt quite close to him.",291,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
5,0192a1a8-b8b4-7cef-9f50-520dc368d951,Melvin,2022-12-09T00:00:00Z,12/9/2022,"North side of Queen Sarah Johnson. Not so much as in reality, though the underlying topography of the slope is. There's a street about halfway up the north side that extends a very long ways to the east in a gentle decline. No Lake Union. I float five or ten feet above the street going east. Very vivid. I see everything, though I don't recall the sky because I was so busy looking at the street. I go on and on. I slowly increase speed until I am going maybe sixty mph. Then I slow down so I can look at things more carefully.  Eventually I start to leave the city. The road has become rocky and almost a trench.
I stop and look at a neighborhood of Victorian wooden houses in fairly good repair on very large lots, suggesting the original layout of the neighborhood. One covers half a block, has a big chicken coop, and there are black chickens on the lawn. Altogether very pleasant. 
Then I'm in some kind of a cluttered, close, repository of historical papers, plans, plats, old magazines. I look at an 1890's Naval magazine, fighting ships, tactics. A drawing of a noteworthy individual in some kind of contraption scooting across the water, much steam and spray. Whatever he is riding in is mostly obscured. A caption explaining it all. I'm there until it comes up on closing time, and a staffer, old, bald, birdlike, wants the magazine back. He's firm but not unpleasant. 
I leave through a back door. Go through an even more cluttered back room. Some women there. I ask them if this leads to an exit and they just look at me, don't say anything. Finally I find the door and let myself out. Crash bar?
I'm in an alley blocked by large white garbage bags the size of my car. That's okay, I just float upwards and over it all.  
A woman. Is she in the alley? What is she doing? She's on her back. She's doing something, and I am going to help her with it, but I have to move my position, pick myself up and float along with some stuff until I was to her right. Dunno what she was going to do, but a whole exchange around that.
Then a guy, and either the same woman or another woman. The guy is a fairly important civic employee or something like that. We talk to him. I tell him that there's a quite large and very interesting city not far to the west. A degree of lucidity here. I know I'm not in normal waking reality, but don't get that it's a dream.  I tell him about the city. He doesn't  know anything about it, but is intrigued. Looking to the west, you can see a waterway and a series of hills. The farther away they are, the more thickly covered they are by houses and development. In the far distance are the tops of some downtown high rises. I point this out to him but somehow it doesn't register. He's talking about something.",518,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
6,0192a1a8-b8b4-7cef-9f50-520dc4589404,Melvin,2022-12-10T00:00:00Z,12/10/2022,"Jumble...  A house by the ocean, up a steep hill. It's several hundred yards from the beach, maybe a quarter mile. At the entrance to the property, from  the road, which goes straight up the hill, I can see a bit of the beach at the bottom of the hill, and the horizon. There's a bunch of rocks, small sea stacks, maybe a quarter mile offshore. I see this view a couple times. The first time the sea is calm, but the second time the sea is fairly agitated and breaking over some of the rocks offshore, and I can hear it, which I couldn't before.
The main action takes place inside the house, which belongs to someone else. I'm staying there, as is Angel and some children that I don't see. The house is quite large and low to the ground, white exterior. It's a very expensive property so near the ocean. It's on a very large lot. extensive grounds. Several cats inside the house.
I'm in the living room, or one of the sitting rooms. Closed sliding glass doors lead to a carport. In the driveway is some kind of wild cat and its kittens. In the dream this kind of cat has a name. It's rather beefy. I don't want them in the house, but the kittens are adorable, about half the size of a fully grown domestic house cat. 
Random bits: A female lion, quite large, lying down in the carport, and another animal, forget what kind, comes along and gives the lion a few friendly licks. 
 -  Three of the wild cat's kittens are inside the house. Even though they are playful and not so aggressive, they have cornered one of the house cats. They're just looking at it, and the house cat isn't too freaked out, but they've definitely cornered it. I'm not happy about that. The situation is somehow resolved.
 -  The power goes out for an extended period of time, 24 hours or so. Angel places candles in candle holders on the floor in several rooms. I ask her why she doesn't place them on the counter or a coffee table and  up off the floor, but she has some reason why she thought the floor was best. 
 -  A strange, old, square, concrete sink, not quite like an old laundry sink, as it is flush with the counter and set into the wall, but fairly crude. I go outside for a tour of the property and then wash something in the sink. I let the water get almost to the rim of the sink, then let the water out. I watch the water drain out for some time. 
 -  Bear cubs, about the size of a grown house cat. Two of them, adorable, underneath a car. They come out and do a bit of roly-poly goofy gamboling. 
It turns out that the room I'm in is directly underneath Angel's bedroom, which is the master bedroom. A spiral staircase cut into the wall comes down from her room.  
What I had thought was a low rise, modern house on a city lot to the left as you enter the property turns out to be something agricultural. A lot of plants inside a maze-like structure of white beams.",545,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
7,0192a1a8-b8b4-7cef-9f50-520dc54e0eb1,Melvin,2022-12-11T00:00:00Z,12/11/2022,"Mostly forgotten jumble. Something about a school or university. A friend of mine and I are trying to enroll. My friend, there was one step, clear and specific in the dream, that he had not yet fulfilled. A room in a house he is moving into, that he will share with someone else. Some question about how the room is to be shared. There are two beds and one bathroom, right off the bedroom. One of the beds is perpendicular to the other, and seems to be taking up more of the room. We puzzle over that for a while, and end up assuming that some natural way of dealing with it would appear, and the problem would work itself out. 
A field outside of a house, driving there... A big, black Mercedes that isn't mine, but I have a key to it. I try to get into the car and start it, but it is blocked in by other vehicles. Then a young woman in another house whose car it is, and yet another woman tries to drive the car away. I can't tell if this is okay with the woman inside the house. I see her briefly and she is holding a 1980's landline telephone and talking on it. Possibly to the police? Or not? The car never moves. 
I don't have my wallet with me. I need to go back to where I am staying to get my wallet and a spare key. The proprietors of either his place or mine need a copy of my car key. I get those somehow without having to go all the way back to my place. 
We drive somewhere. I'm following him. He's driving a little white hatchback. We're going up Pacific Avenue in Parkland, and the street is even more massive, traffic-filled and chaotic than in reality. We come to a light with a big cross street, and as soon as the light turns green he takes off. I'm in a vast parking lot next to Pacific Ave. He takes off up the street, and I try to get up to the top end of the parking lot, and finally do, by which point I have no idea where my friend is. I try to figure out how to turn around, and end up going north quite a bit farther to a massive construction project where the roadway goes into a major underpass. I'm out of the car for a bit at this point, overhearing construction workers gripe about the big concrete forms they are building. Then I'm back in the car and going south, but the road is very different. It's up high and I'm coming down, as from a mountain pass. There are views of very extensive, thickly forested mountain sides, quite impressive. I vaguely wonder why I didn't see any of that when going north.",479,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
8,0192a1a8-b8b4-7cef-9f50-520dc594e168,Melvin,2022-12-13T00:00:00Z,12/13/2022,"My apartment. There'd been a big banquet. Lots of people and lots of food. Now I have a lot of leftover food, more than I could ever eat. There are very large loaves of artisanal bread not baked in a loaf pan, and sliced. The loaves are three, four and five feet long and are stacked on top of a cabinet without doors. There is more bread on the shelves of this cabinet.  I'm up there. It's well off the floor, and I'm about to pull some down to several female friends standing below. I pull one off the top that had been rolled in poppy seeds, and a whole lot of poppy seeds come down and shower the three or four people below. I manage to give away most of the bread. Other food too. 
An episode wherein, it's around five am, and new school year is beginning. Not the very first day, but not many days into it. Don't recall if classes had started yet. I haven't slept well, and I'm thinking oh, god, I have to get up and go to work soon. And how I wish I didn't have to. Then it dawns on  me that I'm retired, and I experience wonderful relief and gratitude, and wonder how I could have forgotten that I'm retired. A little later I tell someone about this.
Then a long sequence in which Andrea had died. She had not married. There was no Joshua (who is in fact now dying). I'm at her apartment with several other people.  The apartment is not terribly large, but it is full of wonderful things she had collected over the years, from rare books to bright silver statuettes from one to three feet tall representing historical personages, many of them medieval. At another point a little earlier, in her kitchen, spice racks and many spice preparations, flavored salts, and it dawns on me that she is not coming back, and all this stuff is more or less up for grabs. I wanted something. I didn't want to just grab boatloads of stuff. I just wanted a couple things to remember her by. People are taking things out of her kitchen and pantry and refrigerator in an orderly manner, not ransacking. I  look at one flavored salt very carefully. The label is very interesting and beautiful.
A long segment where I'm seated on a couch holding a dog that is deceased but back in spirit. It seemed very physical, though. It wasn't well. Maybe forty pounds, very sweet. Short haired, rather like a basset hound. Big, long ears. I hold it for a long time. A guy there, Dutch, European. In the dream Holland was just a couple hours away by train from Tacoma. The guy is appealing. I'm very interested in getting to know him. I chat him up. He's very pleasant. For some reason he touches the dog's bum and gets a little dog poop on his hand. It's watery and there's bits, not like any real dog poop would be. The dog had a name, forgotten. Then it wants to get down. 
At one point the Dutch guy looks out the back window, and there's a natural swale and a few scattered trees, a creek in the bottom. He's excited by it, because there will be much more water in it later in the season. He thinks it's so very cool. I think, okaaaaay, but I don't disparage his interest. 
All this water, a watery cafe au lait color. In a house or possibly Evas's apartment, looking out at it. It's right next to the house. A woman swims in it. Substantial flow. It's boiling past the house, then falls down into some unseen area. I see it from several vantage points. Also some cats there. One that Andrea did not want in the house, because Andrea said *he* was in heat. 
About midpoint in this long sequence, Andrea appears. She's in spirit. She is happy to come back and see everybody, and acknowledge their presence. 
There was a room in her apartment that I never made it to. I knew it was there. I had been there before, when Andrea was alive. It was full of precious, significant objects. Gold and silver statuettes, strange little instruments, much more. Fascinating things.",719,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
9,0192a1a8-b8b4-7cef-9f50-520dc5b30e6e,Melvin,2022-12-13T00:00:00Z,12/13/2022,"Much forgotten. Beginning forgotten. I'm in some kind of building on a hill that has a view. I go to a window, not a very big window, and see downtown towers and a river. I take it to be Montreal. 
Turns into a whole other thing. I'm with Angel, and Carol and Henry are children. I don't recall at what point they became part of the picture.  At first I'm outside. When I was looking out the window it was dusk. Then it's daytime, and I'm flying around some historical park that has an old fort on it. I'm taking in the view. It's on top of a hill, the crown of a collection of hills. The architecture becomes progressively more interesting. Then Carol, Henry and Angel are with me. We're touring the area of the fort. Then we're in a crowded, large interior space somewhere in India. I need to pee. I see a sign, a lot of which is in Hindi or whatever the local language is, that I think says gentlemen. So I go in that direction, thinking, I'll be quick, and when I get back they'll still be there, waiting. 
The search for the can quickly becomes very complicated and maze like. One thing leads to another and another. Some of it's tourist oriented, but  a lot of it isn't. The signs are very colorful. Every placard, and there are many of them, is a different, vibrant color. I see one that says, ""void room,"" and a passage leading from it. I wonder if I'm up to dealing with it and decide not. Up the passage is a little fountain and a guy with a towel over his arm, and I think, you're going to have to pay for that. I was pretty sure I didn't have any local money on me.
So I skip the latrine. Needing to pee is no longer an issue. I try to find my way back to where I  had left Angel and the children. I get more and more confused and finally I'm outside again. I fly around looking for them. The architecture is very intricate, fascinating. Brilliant blue sky, not a cloud anywhere. A lot of dark maroon, finely grained stone. Many colonnaded buildings and plazas, red stone, many columns, cupolas and turrets, all kinds of shit. I keep an eye out for Angel and the kids, and finally stumble on them up at the top of a hill. They seem to be okay, not upset. So we head off as a group again, and forget how it happens but we become separated again. This time I never do find them. More roaming around looking. Inside of one building I see a travel agent kiosk, and a handwritten sign, ""Seattle."" All the rest is in Hindi. I assume they're selling package tours or at least air tickets to Seattle.
I eat in a very plain little restaurant booth, plain walls, no art, plain table. I have two pieces of odd, rather coarse white bread. The gas bubbles in the bread are large, up to six or seven millimeters. And a cup of some pasty gruel. I don't know what to do with the bread. It doesn't look very appetizing, so I eat the gruel. There's no plate, no napkin, nothing. The bread rests on the bare table top.  I have a spoon, though.  The gruel is tasteless. There's only two, maybe three ounces there. Watching other people, I see that the local custom is to scoop the gruel out with the bread.",594,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
10,0192a1a8-b8b4-7cef-9f50-520dc5fb6d20,Melvin,2022-12-15T00:00:00Z,12/15/2022,"99% forgotten. Summer, sunny daytime. A group of young women are running everything. As in everything. I wasn't sure how I felt about that. Made me uncomfortable.",27,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
11,0192a1a8-b8b4-7cef-9f50-520dc61cadd3,Melvin,2022-12-16T00:00:00Z,12/16/2022,"Mostly forgotten. I'm in an apartment with some people I'm not close to. I want to use the bathroom. I tell them I'm going to do some personal maintenance. This girl or young woman says she needs to use the bathroom and will just be a sec, but she goes in there and stays for a very long time, takes a leisurely bath. When I finally get in the tub is still draining. I go in and out of the bathroom several times and get increasing amounts of ridicule from the other people in the house. 
I leave, and there is an episode in a Buddhist temple in some dry country, pine forest. I'm outside a lot, daytime, blue sky. Stuff happens in the temple, forgotten.",126,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
12,0192a1a8-b8b4-7cef-9f50-520dc6409f20,Melvin,2022-12-16T00:00:00Z,12/16/2022,"Also much forgotten. An extensive cemetery in a built up suburban area. I have some kind of memorial, about the size of a lunch box with a burning candle inside and a photograph of some guy. This gets  knocked on its side but the candle doesn't go out, although the wax spills. We are going to place this in its appropriate place.
I go with another guy or two or three to tour the cemetery, and we want to look at the deepest part of it, which is seven levels down.  
These other guys and I cross a very large intersection next to the cemetery. We cross and traffic stops to let us pass. Doesn't feel dangerous. The pavement is dark grayish brown with pebble aggregate flush with the surface, and had a little bounce to it.  If you jump on it it would depress a little then rebound. 
We go to the cemetery extremely fast, floating just a few feet off the ground and ripshitting along...",167,melvin-dreams,0192a1a8-b862-73e6-91fd-bb6a7b2e39c8,Last Night's Dream,,,
