timestamp	sequence_index	subject_id	compound_id	descriptor	value	challenge_split
2015-06-02T00:00:00Z	0	synapse-individual-1	243	INTENSITY/STRENGTH	22	leaderboard_set
2015-06-02T00:00:01Z	1	synapse-individual-1	454	INTENSITY/STRENGTH	33	leaderboard_set
2015-06-02T00:00:02Z	2	synapse-individual-1	679	INTENSITY/STRENGTH	2	leaderboard_set
2015-06-02T00:00:03Z	3	synapse-individual-1	1030	INTENSITY/STRENGTH	0	leaderboard_set
2015-06-02T00:00:04Z	4	synapse-individual-1	1060	INTENSITY/STRENGTH	5	leaderboard_set
2015-06-02T00:00:05Z	5	synapse-individual-1	2682	INTENSITY/STRENGTH	60	leaderboard_set
2015-06-02T00:00:06Z	6	synapse-individual-1	6137	INTENSITY/STRENGTH	92	leaderboard_set
2015-06-02T00:00:07Z	7	synapse-individual-1	6386	INTENSITY/STRENGTH	59	leaderboard_set
2015-06-02T00:00:08Z	8	synapse-individual-1	6826	INTENSITY/STRENGTH	60	leaderboard_set
2015-06-02T00:00:09Z	9	synapse-individual-1	6989	INTENSITY/STRENGTH	71	leaderboard_set
2015-06-02T00:00:10Z	10	synapse-individual-1	7047	INTENSITY/STRENGTH	22	leaderboard_set
2015-06-02T00:00:11Z	11	synapse-individual-1	7409	INTENSITY/STRENGTH	0	leaderboard_set
2015-06-02T00:00:12Z	12	synapse-individual-1	243	VALENCE/PLEASANTNESS	78	leaderboard_set
2015-06-02T00:00:13Z	13	synapse-individual-1	454	VALENCE/PLEASANTNESS	54	leaderboard_set
2015-06-02T00:00:14Z	14	synapse-individual-1	679	VALENCE/PLEASANTNESS	52	leaderboard_set
2015-06-02T00:00:15Z	15	synapse-individual-1	1030	VALENCE/PLEASANTNESS	53	leaderboard_set
2015-06-02T00:00:16Z	16	synapse-individual-1	1060	VALENCE/PLEASANTNESS	3	leaderboard_set
2015-06-02T00:00:17Z	17	synapse-individual-1	2682	VALENCE/PLEASANTNESS	19	leaderboard_set
2015-06-02T00:00:18Z	18	synapse-individual-1	6137	VALENCE/PLEASANTNESS	50	leaderboard_set
2015-06-02T00:00:19Z	19	synapse-individual-1	6386	VALENCE/PLEASANTNESS	77	leaderboard_set
2015-06-02T00:00:20Z	20	synapse-individual-1	6826	VALENCE/PLEASANTNESS	1	leaderboard_set
2015-06-02T00:00:21Z	21	synapse-individual-1	6989	VALENCE/PLEASANTNESS	16	leaderboard_set
2015-06-02T00:00:22Z	22	synapse-individual-1	7047	VALENCE/PLEASANTNESS	46	leaderboard_set
2015-06-02T00:00:23Z	23	synapse-individual-1	7409	VALENCE/PLEASANTNESS	52	leaderboard_set
2015-06-02T00:00:24Z	24	synapse-individual-1	243	BAKERY	0	leaderboard_set
2015-06-02T00:00:25Z	25	synapse-individual-1	454	BAKERY	0	leaderboard_set
2015-06-02T00:00:26Z	26	synapse-individual-1	679	BAKERY	0	leaderboard_set
2015-06-02T00:00:27Z	27	synapse-individual-1	1030	BAKERY	0	leaderboard_set
2015-06-02T00:00:28Z	28	synapse-individual-1	1060	BAKERY	0	leaderboard_set
2015-06-02T00:00:29Z	29	synapse-individual-1	2682	BAKERY	0	leaderboard_set
2015-06-02T00:00:30Z	30	synapse-individual-1	6137	BAKERY	0	leaderboard_set
2015-06-02T00:00:31Z	31	synapse-individual-1	6386	BAKERY	0	leaderboard_set
2015-06-02T00:00:32Z	32	synapse-individual-1	6826	BAKERY	0	leaderboard_set
2015-06-02T00:00:33Z	33	synapse-individual-1	6989	BAKERY	0	leaderboard_set
2015-06-02T00:00:34Z	34	synapse-individual-1	7047	BAKERY	0	leaderboard_set
2015-06-02T00:00:35Z	35	synapse-individual-1	7409	BAKERY	0	leaderboard_set
2015-06-02T00:00:36Z	36	synapse-individual-1	243	SWEET	76	leaderboard_set
2015-06-02T00:00:37Z	37	synapse-individual-1	454	SWEET	0	leaderboard_set
2015-06-02T00:00:38Z	38	synapse-individual-1	679	SWEET	0	leaderboard_set
2015-06-02T00:00:39Z	39	synapse-individual-1	1030	SWEET	0	leaderboard_set
2015-06-02T00:00:40Z	40	synapse-individual-1	1060	SWEET	0	leaderboard_set
2015-06-02T00:00:41Z	41	synapse-individual-1	2682	SWEET	0	leaderboard_set
2015-06-02T00:00:42Z	42	synapse-individual-1	6137	SWEET	2	leaderboard_set
2015-06-02T00:00:43Z	43	synapse-individual-1	6386	SWEET	9	leaderboard_set
2015-06-02T00:00:44Z	44	synapse-individual-1	6826	SWEET	0	leaderboard_set
2015-06-02T00:00:45Z	45	synapse-individual-1	6989	SWEET	0	leaderboard_set
2015-06-02T00:00:46Z	46	synapse-individual-1	7047	SWEET	58	leaderboard_set
2015-06-02T00:00:47Z	47	synapse-individual-1	7409	SWEET	0	leaderboard_set
2015-06-02T00:00:48Z	48	synapse-individual-1	243	FRUIT	73	leaderboard_set
2015-06-02T00:00:49Z	49	synapse-individual-1	454	FRUIT	0	leaderboard_set
2015-06-02T00:00:50Z	50	synapse-individual-1	679	FRUIT	0	leaderboard_set
2015-06-02T00:00:51Z	51	synapse-individual-1	1030	FRUIT	0	leaderboard_set
2015-06-02T00:00:52Z	52	synapse-individual-1	1060	FRUIT	0	leaderboard_set
2015-06-02T00:00:53Z	53	synapse-individual-1	2682	FRUIT	0	leaderboard_set
2015-06-02T00:00:54Z	54	synapse-individual-1	6137	FRUIT	0	leaderboard_set
2015-06-02T00:00:55Z	55	synapse-individual-1	6386	FRUIT	0	leaderboard_set
2015-06-02T00:00:56Z	56	synapse-individual-1	6826	FRUIT	0	leaderboard_set
2015-06-02T00:00:57Z	57	synapse-individual-1	6989	FRUIT	0	leaderboard_set
2015-06-02T00:00:58Z	58	synapse-individual-1	7047	FRUIT	0	leaderboard_set
2015-06-02T00:00:59Z	59	synapse-individual-1	7409	FRUIT	0	leaderboard_set
2015-06-02T00:01:00Z	60	synapse-individual-1	243	FISH	0	leaderboard_set
2015-06-02T00:01:01Z	61	synapse-individual-1	454	FISH	0	leaderboard_set
2015-06-02T00:01:02Z	62	synapse-individual-1	679	FISH	0	leaderboard_set
2015-06-02T00:01:03Z	63	synapse-individual-1	1030	FISH	0	leaderboard_set
2015-06-02T00:01:04Z	64	synapse-individual-1	1060	FISH	0	leaderboard_set
2015-06-02T00:01:05Z	65	synapse-individual-1	2682	FISH	0	leaderboard_set
2015-06-02T00:01:06Z	66	synapse-individual-1	6137	FISH	0	leaderboard_set
2015-06-02T00:01:07Z	67	synapse-individual-1	6386	FISH	0	leaderboard_set
2015-06-02T00:01:08Z	68	synapse-individual-1	6826	FISH	0	leaderboard_set
2015-06-02T00:01:09Z	69	synapse-individual-1	6989	FISH	0	leaderboard_set
2015-06-02T00:01:10Z	70	synapse-individual-1	7047	FISH	0	leaderboard_set
2015-06-02T00:01:11Z	71	synapse-individual-1	7409	FISH	0	leaderboard_set
